Metodo;N;NTrocas;Tempo
Bubble;100;2684;0.000020
Selection;100;96;0.000010
Insertion;100;2684;0.000007
Shell;100;352;0.000006
Quick;100;156;0.000007
Merge;100;672;0.000010
Bubble;500;60998;0.000353
Selection;500;493;0.000136
Insertion;500;60998;0.000087
Shell;500;3035;0.000038
Quick;500;1026;0.000035
Merge;500;4488;0.000044
Bubble;1000;254321;0.001164
Selection;1000;995;0.000469
Insertion;1000;254321;0.000313
Shell;1000;7393;0.000084
Quick;1000;2345;0.000093
Merge;1000;9976;0.000117
Bubble;5000;6267604;0.036017
Selection;5000;4993;0.012421
Insertion;5000;6267604;0.010050
Shell;5000;60700;0.000720
Quick;5000;14387;0.000535
Merge;5000;61808;0.000680
Bubble;10000;25135899;0.173999
Selection;10000;9990;0.052163
Insertion;10000;25135899;0.044412
Shell;10000;149122;0.001614
Quick;10000;31101;0.000928
Merge;10000;133616;0.001242
